state,sex,year,name,number,month_name,season_name
AK,F,1927,June,6,yes,no
AK,F,1937,June,5,yes,no
AK,F,1945,June,6,yes,no
AK,F,1947,June,5,yes,no
AK,F,1948,June,5,yes,no
AK,F,1950,June,5,yes,no
AK,F,1952,April,7,yes,no
AK,F,1953,June,5,yes,no
AK,F,1954,June,6,yes,no
AK,F,1955,April,6,yes,no
AK,F,1955,June,5,yes,no
AK,F,1956,June,7,yes,no
AK,F,1957,April,5,yes,no
AK,F,1958,June,8,yes,no
AK,F,1959,April,5,yes,no
AK,F,1960,April,5,yes,no
AK,F,1961,April,6,yes,no
AK,F,1963,June,6,yes,no
AK,F,1963,April,5,yes,no
AK,F,1964,April,7,yes,no
AK,F,1964,June,6,yes,no
AK,F,1966,April,6,yes,no
AK,F,1966,June,5,yes,no
AK,F,1967,April,12,yes,no
AK,F,1968,April,13,yes,no
AK,F,1969,April,11,yes,no
AK,F,1970,April,12,yes,no
AK,F,1970,June,6,yes,no
AK,F,1971,April,13,yes,no
AK,F,1972,April,16,yes,no
AK,F,1973,April,16,yes,no
AK,F,1974,April,13,yes,no
AK,F,1975,April,29,yes,no
AK,F,1976,April,16,yes,no
AK,F,1977,April,12,yes,no
AK,F,1978,April,22,yes,no
AK,F,1979,April,21,yes,no
AK,F,1980,April,21,yes,no
AK,F,1981,April,19,yes,no
AK,F,1982,April,15,yes,no
AK,F,1983,April,24,yes,no
AK,F,1984,April,24,yes,no
AK,F,1985,April,22,yes,no
AK,F,1986,April,10,yes,no
AK,F,1987,April,13,yes,no
AK,F,1988,April,9,yes,no
AK,F,1989,April,11,yes,no
AK,F,1990,April,17,yes,no
AK,F,1991,April,9,yes,no
AK,F,1992,April,11,yes,no
AK,F,1993,April,8,yes,no
AK,F,1995,April,6,yes,no
AK,F,1997,April,7,yes,no
AK,F,1999,April,8,yes,no
AK,F,2013,June,6,yes,no
AK,F,2013,April,5,yes,no
AK,F,2014,June,5,yes,no
AK,F,2015,June,5,yes,no
AK,F,2016,June,6,yes,no
AK,F,2017,June,5,yes,no
AK,F,2019,June,5,yes,no
AL,F,1910,May,13,yes,no
AL,F,1911,May,13,yes,no
AL,F,1912,May,15,yes,no
AL,F,1913,May,18,yes,no
AL,F,1913,June,6,yes,no
AL,F,1914,May,14,yes,no
AL,F,1914,June,7,yes,no
AL,F,1915,May,15,yes,no
AL,F,1915,June,5,yes,no
AL,F,1916,May,23,yes,no
AL,F,1916,June,9,yes,no
AL,F,1917,May,23,yes,no
AL,F,1917,June,15,yes,no
AL,F,1918,May,30,yes,no
AL,F,1918,June,16,yes,no
AL,F,1919,June,24,yes,no
AL,F,1919,May,17,yes,no
AL,F,1920,June,26,yes,no
AL,F,1920,May,19,yes,no
AL,F,1921,May,32,yes,no
AL,F,1921,June,22,yes,no
AL,F,1922,June,22,yes,no
AL,F,1922,May,21,yes,no
AL,F,1923,June,34,yes,no
AL,F,1923,May,32,yes,no
AL,F,1924,June,35,yes,no
AL,F,1924,May,26,yes,no
AL,F,1925,June,35,yes,no
AL,F,1925,May,18,yes,no
AL,F,1926,June,37,yes,no
AL,F,1926,May,27,yes,no
AL,F,1927,June,44,yes,no
AL,F,1927,May,17,yes,no
AL,F,1928,June,28,yes,no
AL,F,1928,May,13,yes,no
AL,F,1929,June,42,yes,no
AL,F,1929,May,18,yes,no
AL,F,1930,June,46,yes,no
AL,F,1930,May,8,yes,no
AL,F,1931,June,65,yes,no
AL,F,1931,May,16,yes,no
AL,F,1932,June,69,yes,no
AL,F,1932,May,14,yes,no
AL,F,1933,June,63,yes,no
AL,F,1933,May,15,yes,no
AL,F,1934,June,63,yes,no
AL,F,1934,May,8,yes,no
AL,F,1935,June,61,yes,no
AL,F,1935,May,14,yes,no
AL,F,1936,June,59,yes,no
AL,F,1936,May,11,yes,no
AL,F,1937,June,60,yes,no
AL,F,1937,May,9,yes,no
AL,F,1938,June,77,yes,no
AL,F,1938,May,15,yes,no
AL,F,1939,June,65,yes,no
AL,F,1939,May,9,yes,no
AL,F,1940,June,49,yes,no
