state,sex,year,name,number,month_name,season_name
AK,F,1972,Autumn,5,no,yes
AK,F,1974,Autumn,5,no,yes
AK,F,1976,Autumn,8,no,yes
AK,F,1977,Summer,9,no,yes
AK,F,1977,Autumn,5,no,yes
AK,F,1978,Autumn,8,no,yes
AK,F,1978,Summer,7,no,yes
AK,F,1979,Summer,13,no,yes
AK,F,1979,Autumn,10,no,yes
AK,F,1980,Autumn,8,no,yes
AK,F,1980,Summer,8,no,yes
AK,F,1981,Autumn,8,no,yes
AK,F,1981,Summer,6,no,yes
AK,F,1982,Autumn,6,no,yes
AK,F,1983,Autumn,5,no,yes
AK,F,1985,Autumn,10,no,yes
AK,F,1986,Autumn,7,no,yes
AK,F,1987,Autumn,5,no,yes
AK,F,1988,Autumn,7,no,yes
AK,F,1989,Autumn,9,no,yes
AK,F,1989,Summer,5,no,yes
AK,F,1990,Autumn,10,no,yes
AK,F,1991,Autumn,5,no,yes
AK,F,1992,Autumn,6,no,yes
AK,F,1993,Autumn,10,no,yes
AK,F,1994,Autumn,13,no,yes
AK,F,1995,Autumn,17,no,yes
AK,F,1995,Summer,8,no,yes
AK,F,1996,Autumn,9,no,yes
AK,F,1996,Summer,5,no,yes
AK,F,1997,Autumn,7,no,yes
AK,F,1997,Summer,5,no,yes
AK,F,1998,Autumn,19,no,yes
AK,F,1998,Summer,7,no,yes
AK,F,1999,Autumn,14,no,yes
AK,F,1999,Summer,6,no,yes
AK,F,2000,Autumn,10,no,yes
AK,F,2000,Summer,5,no,yes
AK,F,2001,Autumn,17,no,yes
AK,F,2001,Summer,8,no,yes
AK,F,2002,Autumn,14,no,yes
AK,F,2003,Autumn,12,no,yes
AK,F,2003,Summer,8,no,yes
AK,F,2004,Autumn,7,no,yes
AK,F,2004,Summer,6,no,yes
AK,F,2005,Autumn,11,no,yes
AK,F,2005,Summer,7,no,yes
AK,F,2006,Autumn,8,no,yes
AK,F,2006,Summer,5,no,yes
AK,F,2007,Autumn,13,no,yes
AK,F,2007,Summer,8,no,yes
AK,F,2008,Autumn,24,no,yes
AK,F,2008,Winter,5,no,yes
AK,F,2009,Autumn,17,no,yes
AK,F,2009,Summer,10,no,yes
AK,F,2010,Autumn,16,no,yes
AK,F,2010,Summer,6,no,yes
AK,F,2011,Autumn,14,no,yes
AK,F,2011,Summer,5,no,yes
AK,F,2012,Autumn,16,no,yes
AK,F,2012,Summer,5,no,yes
AK,F,2013,Autumn,15,no,yes
AK,F,2014,Autumn,12,no,yes
AK,F,2014,Winter,8,no,yes
AK,F,2014,Summer,7,no,yes
AK,F,2015,Autumn,18,no,yes
AK,F,2015,Summer,9,no,yes
AK,F,2016,Autumn,15,no,yes
AK,F,2016,Summer,5,no,yes
AK,F,2017,Autumn,17,no,yes
AK,F,2018,Autumn,6,no,yes
AK,F,2018,Winter,5,no,yes
AK,F,2019,Autumn,15,no,yes
AK,F,2019,Winter,7,no,yes
AL,F,1972,Autumn,5,no,yes
AL,F,1975,Summer,13,no,yes
AL,F,1975,Autumn,11,no,yes
AL,F,1976,Summer,19,no,yes
AL,F,1976,Autumn,10,no,yes
AL,F,1977,Summer,43,no,yes
AL,F,1977,Autumn,13,no,yes
AL,F,1978,Summer,43,no,yes
AL,F,1978,Autumn,26,no,yes
AL,F,1978,Winter,5,no,yes
AL,F,1979,Summer,38,no,yes
AL,F,1979,Autumn,17,no,yes
AL,F,1979,Winter,13,no,yes
AL,F,1980,Summer,47,no,yes
AL,F,1980,Autumn,16,no,yes
AL,F,1980,Winter,6,no,yes
AL,F,1981,Summer,45,no,yes
AL,F,1981,Autumn,19,no,yes
AL,F,1982,Summer,35,no,yes
AL,F,1982,Autumn,19,no,yes
AL,F,1983,Summer,34,no,yes
AL,F,1983,Autumn,16,no,yes
AL,F,1984,Summer,29,no,yes
AL,F,1984,Autumn,27,no,yes
AL,F,1985,Summer,31,no,yes
AL,F,1985,Autumn,11,no,yes
AL,F,1986,Summer,37,no,yes
AL,F,1986,Autumn,18,no,yes
AL,F,1987,Summer,37,no,yes
AL,F,1987,Autumn,29,no,yes
AL,F,1988,Summer,33,no,yes
AL,F,1988,Autumn,26,no,yes
AL,F,1989,Summer,37,no,yes
AL,F,1989,Autumn,19,no,yes
AL,F,1990,Summer,49,no,yes
AL,F,1990,Autumn,30,no,yes
AL,F,1991,Summer,38,no,yes
AL,F,1991,Autumn,30,no,yes
AL,F,1992,Summer,37,no,yes
AL,F,1992,Autumn,36,no,yes
AL,F,1993,Summer,53,no,yes
AL,F,1993,Autumn,42,no,yes
AL,F,1994,Autumn,66,no,yes
AL,F,1994,Summer,65,no,yes
AL,F,1995,Autumn,73,no,yes
AL,F,1995,Summer,59,no,yes
AL,F,1996,Autumn,83,no,yes
AL,F,1996,Summer,64,no,yes
AL,F,1996,Winter,5,no,yes
AL,F,1997,Autumn,101,no,yes
AL,F,1997,Summer,69,no,yes
AL,F,1997,Winter,5,no,yes
AL,F,1998,Autumn,94,no,yes
AL,F,1998,Summer,77,no,yes
AL,F,1998,Winter,7,no,yes
AL,F,1999,Autumn,102,no,yes
AL,F,1999,Summer,48,no,yes
AL,F,2000,Autumn,91,no,yes
AL,F,2000,Summer,57,no,yes
AL,F,2000,Winter,6,no,yes
AL,F,2001,Autumn,94,no,yes
AL,F,2001,Summer,57,no,yes
AL,F,2001,Winter,5,no,yes
AL,F,2002,Autumn,93,no,yes
AL,F,2002,Summer,56,no,yes
AL,F,2003,Autumn,95,no,yes
AL,F,2003,Summer,60,no,yes
AL,F,2003,Winter,7,no,yes
AL,F,2004,Autumn,80,no,yes
AL,F,2004,Summer,58,no,yes
AL,F,2005,Autumn,70,no,yes
AL,F,2005,Summer,47,no,yes
AL,F,2005,Winter,6,no,yes
AL,F,2006,Autumn,74,no,yes
AL,F,2006,Summer,46,no,yes
AL,F,2007,Autumn,60,no,yes
AL,F,2007,Summer,50,no,yes
AL,F,2008,Autumn,72,no,yes
AL,F,2008,Summer,34,no,yes
AL,F,2009,Autumn,66,no,yes
AL,F,2009,Summer,38,no,yes
AL,F,2010,Autumn,59,no,yes
AL,F,2010,Summer,24,no,yes
AL,F,2011,Autumn,56,no,yes
AL,F,2011,Summer,33,no,yes
AL,F,2011,Winter,7,no,yes
AL,F,2012,Autumn,60,no,yes
AL,F,2012,Summer,35,no,yes
AL,F,2013,Autumn,66,no,yes
AL,F,2013,Summer,32,no,yes
AL,F,2013,Winter,7,no,yes
AL,F,2014,Autumn,66,no,yes
AL,F,2014,Summer,27,no,yes
AL,F,2014,Winter,5,no,yes
AL,F,2015,Autumn,71,no,yes
AL,F,2015,Summer,25,no,yes
AL,F,2015,Winter,15,no,yes
AL,F,2016,Autumn,66,no,yes
AL,F,2016,Summer,24,no,yes
AL,F,2016,Winter,10,no,yes
AL,F,2017,Autumn,56,no,yes
AL,F,2017,Summer,14,no,yes
AL,F,2017,Winter,10,no,yes
AL,F,2018,Autumn,66,no,yes
AL,F,2018,Summer,21,no,yes
AL,F,2018,Winter,15,no,yes
AL,F,2019,Autumn,60,no,yes
AL,F,2019,Summer,29,no,yes
AL,F,2019,Winter,13,no,yes
AR,F,1973,Autumn,5,no,yes
AR,F,1975,Summer,15,no,yes
AR,F,1975,Autumn,11,no,yes
AR,F,1976,Summer,18,no,yes
AR,F,1976,Autumn,14,no,yes
AR,F,1976,Spring,5,no,yes
AR,F,1977,Summer,40,no,yes
AR,F,1977,Autumn,12,no,yes
AR,F,1978,Summer,27,no,yes
AR,F,1978,Autumn,22,no,yes
AR,F,1979,Summer,26,no,yes
AR,F,1979,Autumn,23,no,yes
AR,F,1979,Winter,8,no,yes
AR,F,1980,Summer,32,no,yes
AR,F,1980,Autumn,23,no,yes
AR,F,1981,Summer,33,no,yes
AR,F,1981,Autumn,29,no,yes
AR,F,1982,Summer,21,no,yes
AR,F,1982,Autumn,18,no,yes
AR,F,1983,Summer,26,no,yes
AR,F,1983,Autumn,21,no,yes
AR,F,1984,Summer,28,no,yes
AR,F,1984,Autumn,25,no,yes
AR,F,1985,Autumn,22,no,yes
AR,F,1985,Summer,18,no,yes
AR,F,1986,Summer,26,no,yes
AR,F,1986,Autumn,22,no,yes
AR,F,1987,Autumn,23,no,yes
AR,F,1987,Summer,23,no,yes
AR,F,1988,Summer,34,no,yes
AR,F,1988,Autumn,32,no,yes
AR,F,1989,Autumn,22,no,yes
AR,F,1989,Summer,17,no,yes
AR,F,1990,Summer,37,no,yes
AR,F,1990,Autumn,24,no,yes
AR,F,1991,Summer,36,no,yes
AR,F,1991,Autumn,35,no,yes
AR,F,1992,Autumn,37,no,yes
AR,F,1992,Summer,27,no,yes
AR,F,1993,Summer,33,no,yes
AR,F,1993,Autumn,29,no,yes
AR,F,1994,Autumn,42,no,yes
AR,F,1994,Summer,25,no,yes
AR,F,1994,Winter,5,no,yes
AR,F,1995,Autumn,65,no,yes
AR,F,1995,Summer,35,no,yes
AR,F,1996,Autumn,53,no,yes
AR,F,1996,Summer,43,no,yes
AR,F,1997,Autumn,62,no,yes
AR,F,1997,Summer,42,no,yes
AR,F,1998,Autumn,53,no,yes
AR,F,1998,Summer,52,no,yes
AR,F,1999,Autumn,58,no,yes
AR,F,1999,Summer,39,no,yes
AR,F,1999,Winter,5,no,yes
AR,F,2000,Autumn,58,no,yes
AR,F,2000,Summer,37,no,yes
AR,F,2001,Autumn,60,no,yes
AR,F,2001,Summer,31,no,yes
AR,F,2002,Autumn,82,no,yes
AR,F,2002,Summer,24,no,yes
AR,F,2003,Autumn,63,no,yes
AR,F,2003,Summer,32,no,yes
AR,F,2003,Winter,5,no,yes
AR,F,2004,Autumn,64,no,yes
AR,F,2004,Summer,39,no,yes
AR,F,2004,Winter,5,no,yes
AR,F,2005,Autumn,55,no,yes
AR,F,2005,Summer,32,no,yes
AR,F,2005,Winter,7,no,yes
AR,F,2006,Autumn,46,no,yes
AR,F,2006,Summer,29,no,yes
AR,F,2007,Autumn,49,no,yes
AR,F,2007,Summer,29,no,yes
AR,F,2008,Autumn,48,no,yes
AR,F,2008,Summer,16,no,yes
AR,F,2009,Autumn,60,no,yes
AR,F,2009,Summer,24,no,yes
AR,F,2010,Autumn,44,no,yes
AR,F,2010,Summer,23,no,yes
AR,F,2011,Autumn,46,no,yes
AR,F,2011,Summer,16,no,yes
AR,F,2012,Autumn,47,no,yes
AR,F,2012,Summer,19,no,yes
AR,F,2012,Winter,7,no,yes
AR,F,2013,Autumn,54,no,yes
AR,F,2013,Summer,17,no,yes
AR,F,2013,Winter,9,no,yes
AR,F,2014,Autumn,50,no,yes
AR,F,2014,Summer,17,no,yes
AR,F,2014,Winter,5,no,yes
AR,F,2015,Autumn,42,no,yes
AR,F,2015,Summer,14,no,yes
AR,F,2015,Winter,9,no,yes
AR,F,2016,Autumn,53,no,yes
AR,F,2016,Summer,16,no,yes
AR,F,2016,Winter,10,no,yes
AR,F,2017,Autumn,39,no,yes
AR,F,2017,Summer,12,no,yes
AR,F,2017,Winter,7,no,yes
AR,F,2018,Autumn,43,no,yes
AR,F,2018,Summer,10,no,yes
AR,F,2019,Autumn,27,no,yes
AR,F,2019,Winter,15,no,yes
AR,F,2019,Summer,13,no,yes
AZ,F,1972,Autumn,9,no,yes
AZ,F,1973,Autumn,10,no,yes
AZ,F,1973,Summer,7,no,yes
AZ,F,1974,Autumn,10,no,yes
AZ,F,1974,Spring,5,no,yes
AZ,F,1975,Summer,21,no,yes
AZ,F,1975,Autumn,19,no,yes
AZ,F,1976,Autumn,24,no,yes
AZ,F,1976,Summer,19,no,yes
AZ,F,1976,Spring,8,no,yes
AZ,F,1977,Summer,32,no,yes
AZ,F,1977,Autumn,18,no,yes
AZ,F,1978,Summer,40,no,yes
AZ,F,1978,Autumn,33,no,yes
AZ,F,1979,Summer,49,no,yes
AZ,F,1979,Autumn,33,no,yes
AZ,F,1980,Autumn,34,no,yes
AZ,F,1980,Summer,29,no,yes
AZ,F,1981,Summer,42,no,yes
