state,sex,year,name,number,month_name,season_name
PR,F,1998,Paola,724,no,no
PR,F,1998,Genesis,500,no,no
PR,F,1998,Gabriela,447,no,no
PR,F,1998,Nicole,392,no,no
PR,F,1998,Alondra,344,no,no
PR,F,1998,Maria,292,no,no
PR,F,1998,Nashaly,276,no,no
PR,F,1998,Stephanie,273,no,no
PR,F,1998,Andrea,256,no,no
PR,F,1998,Adriana,251,no,no
PR,F,1998,Valeria,245,no,no
PR,F,1998,Alexandra,238,no,no
PR,F,1998,Karla,214,no,no
PR,F,1998,Natalia,208,no,no
PR,F,1998,Melanie,194,no,no
PR,F,1998,Angelica,180,no,no
PR,F,1998,Ashley,174,no,no
PR,F,1998,Kimberly,174,no,no
PR,F,1998,Joyce,172,no,no
PR,F,1998,Kiara,172,no,no
PR,F,1998,Karina,163,no,no
PR,F,1998,Ana,152,no,no
PR,F,1998,Natalie,137,no,no
PR,F,1998,Fabiola,136,no,no
PR,F,1998,Natasha,131,no,no
PR,F,1998,Krystal,126,no,no
PR,F,1998,Alejandra,124,no,no
PR,F,1998,Amanda,122,no,no
PR,F,1998,Nashalie,113,no,no
PR,F,1998,Michelle,110,no,no
PR,F,1998,Keishla,109,no,no
PR,F,1998,Laura,108,no,no
PR,F,1998,Valerie,108,no,no
PR,F,1998,Cristal,106,no,no
PR,F,1998,Shakira,98,no,no
PR,F,1998,Nashali,95,no,no
PR,F,1998,Crystal,94,no,no
PR,F,1998,Liz,87,no,no
PR,F,1998,Thalia,86,no,no
PR,F,1998,Grace,82,no,no
PR,F,1998,Carla,81,no,no
PR,F,1998,Frances,81,no,no
PR,F,1998,Luz,80,no,no
PR,F,1998,Daniela,78,no,no
PR,F,1998,Monica,78,no,no
PR,F,1998,Patricia,78,no,no
PR,F,1998,Tatiana,78,no,no
PR,F,1998,Deyaneira,77,no,no
PR,F,1998,Alanis,76,no,no
PR,F,1998,Veronica,75,no,no
PR,F,1998,Cristina,74,no,no
PR,F,1998,Emily,72,no,no
PR,F,1998,Naomi,70,no,no
